Sample numero 0
Explanation for class neutral 
('ceiling', -0.07185858129881299)
('church', 0.05930819320847244)
('cracks', 0.02989537759691142)
('sings', 0.02292268703932649)
('masses', 0.019157358574861463)
('sing', -0.017076474092807072)
('church', 0.01447424379049333)
('songs', 0.012965411293007732)
('in', 0.012511972303899114)
('at', -0.011569172223745254)
('book', 0.01075342815066772)
('church', 0.009143722147451256)
('from', 0.006340985496783114)
('joyous', 0.0023674725655467074)
('choir', 0.0006125656968537713)
Explanation for class entailment 
('church', 0.16773613539165333)
('cracks', -0.15226285466491238)
('church', 0.14110910892069625)
('in', 0.06807986377404297)
('joyous', -0.06242323792188135)
('book', -0.038343641608382405)
('sings', 0.034608973665407695)
('choir', 0.031948643347050415)
('masses', 0.02684390782402574)
('songs', -0.02049736314184335)
('at', -0.018425235358931456)
('sing', -0.013098411728533283)
('church', -0.011763141712308406)
('ceiling', -0.010825102734915068)
('from', -0.0013950193581569858)
Explanation for class contradiction 
('church', -0.17687986723080898)
('church', -0.15558333816678796)
('cracks', 0.12236745917069265)
('ceiling', 0.08268369884646283)
('in', -0.08059182423667348)
('joyous', 0.06005578456146034)
('sings', -0.05753166549998076)
('church', -0.04754507501288785)
('masses', -0.04600125507057255)
('choir', -0.032561232998572893)
('sing', 0.030174853892603527)
('at', 0.029994390293541166)
('book', 0.027590212176741128)
('songs', 0.007531946546976377)
('from', -0.004945887718538302)

Sample numero 1
Explanation for class neutral 
('song', 0.23778216258387716)
('with', 0.1714406648554699)
('filled', 0.13025003160526194)
('church', 0.06901976223293786)
('church', -0.03169157561880004)
('choir', -0.025867885220997203)
('sings', 0.01936340775025396)
('songs', -0.015387072245645986)
('book', 0.009993485417728942)
('masses', -0.008043972829561293)
('church', -0.0037413515885524194)
('sing', -0.0022400148075073334)
('at', -0.0020930633660812864)
('from', -0.0014509194800205048)
('joyous', -7.107752829443368e-05)
Explanation for class entailment 
('with', 0.14775486974720095)
('filled', 0.0648860233387557)
('church', -0.06458822297049022)
('joyous', 0.041992869628396164)
('church', 0.03314164873401467)
('masses', 0.024545810875348566)
('songs', 0.02388127230160635)
('sing', 0.0214578326634764)
('church', 0.0148999802520201)
('choir', 0.010640052153160924)
('song', 0.009640859811554535)
('sings', -0.008565428721270734)
('book', -0.0075386319598940614)
('from', -0.005299636815731089)
('at', 0.0015495685104243385)
Explanation for class contradiction 
('with', -0.31919553986694305)
('song', -0.24742304040020976)
('filled', -0.19513609164335846)
('joyous', -0.041921802455223124)
('sing', -0.01921781345625258)
('masses', -0.016501801986069674)
('choir', 0.015227894549260738)
('church', -0.01115860023925214)
('sings', -0.010798002596927939)
('songs', -0.00849416138435904)
('from', 0.006750551414467956)
('church', -0.004431570940109882)
('book', -0.0024548448660088916)
('church', -0.0014500547355834744)
('at', 0.0005434599342226244)

Sample numero 2
Explanation for class neutral 
('singing', 0.09900567852136263)
('baseball_game', 0.07454105613970835)
('choir', 0.07139751991521141)
('book', -0.022570619671043686)
('sing', 0.01691299218550208)
('church', -0.015984140779016057)
('songs', 0.015032403452044173)
('church', 0.013987208175630988)
('choir', -0.011311030601556358)
('joyous', 0.009153584021354246)
('masses', 0.008002736362326505)
('sings', -0.006835698216338531)
('at', 0.00624718056602663)
('from', -0.002619852410646273)
('at', -0.00044229904223916036)
Explanation for class entailment 
('singing', 0.33561958302132794)
('choir', 0.1837639951856794)
('baseball_game', -0.13995926851316207)
('sings', 0.10421409082717227)
('sing', 0.08946355368891747)
('church', -0.07301506277277603)
('church', -0.06557130516570674)
('choir', 0.05760324969250745)
('book', -0.017088168763350554)
('from', -0.015978499806993632)
('at', 0.007546031370482321)
('masses', 0.005046810568298931)
('at', -0.003816574448193782)
('songs', -0.003653246032390636)
('joyous', 0.0030591640077637042)
Explanation for class contradiction 
('singing', -0.43462528669595635)
('choir', -0.2551615403308946)
('sing', -0.10637653368166504)
('sings', -0.09737840159137254)
('church', 0.08155543126345075)
('baseball_game', 0.06541820206872107)
('church', 0.05902785603004126)
